m.05qck	Presidential Medal of Freedom	award.award_category,award.award,book.book_subject
m.0fhsz	Naples	location.location,organization.organization_scope,film.film_location,location.statistical_region,travel.travel_destination,protected_sites.listed_site,symbols.name_source,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,book.book_subject
m.0pfd9	Ipswich	location.location,organization.organization_scope,government.political_district,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,government.governmental_jurisdiction
m.02w1dv	Handsworth, West Midlands	location.location,location.statistical_region,location.citytown
m.0185vh	Elverum	location.location,location.statistical_region,location.citytown
m.0403f5	Fethard-on-Sea	location.location,location.statistical_region,location.citytown
m.02cft	Dublin	organization.organization_scope,location.location,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.06jpd_	Rampton	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0gqfy	Nagoya	location.location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.01h09p	Bishopbriggs	location.location,location.statistical_region,location.citytown
m.05fky	North Dakota	organization.organization_scope,location.location,location.administrative_division,government.political_district,periodicals.newspaper_circulation_area,location.statistical_region,book.book_subject,government.governmental_jurisdiction
m.0dbdy	Lancashire	organization.organization_scope,location.location,fictional_universe.fictional_setting,location.administrative_division,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination
m.06bnzg	Montague	location.location,location.statistical_region,location.citytown
m.0yx74	Hattiesburg	location.location,location.hud_county_place,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.0rdg0	Enfield	organization.organization_scope,location.location,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.096g3	Bologna	organization.organization_scope,location.location,location.administrative_division,film.film_location,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.01y3wj	Korea under Japanese rule	location.location,location.country,location.statistical_region
m.0dhdp	Leicester	location.location,organization.organization_scope,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.0kf_mvq	Marton, Shropshire	location.location
m.06dfg	Rwanda	organization.organization_scope,location.location,location.country,olympics.olympic_participating_country,film.film_subject,sports.sports_team_location,organization.organization_member,location.statistical_region,travel.travel_destination,government.governmental_jurisdiction
m.018534	Spydeberg	location.location,location.statistical_region,location.citytown
m.02hvvb	Mount Forest, Ontario	location.location,location.statistical_region,location.citytown
m.036gzp	Middlesex Centre	location.location
m.08zmsf	Little Falls	location.location,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.0n9r8	Hampstead	location.location,fictional_universe.fictional_setting,government.political_district,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,location.citytown
m.083hsk	Bramcote	location.location,location.statistical_region,location.citytown
m.027zyn4	Nieuwendam	location.location,location.statistical_region,location.citytown
m.015y2q	Pune	organization.organization_scope,location.location,film.film_location,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.02nht7	Downham	location.location
m.0345yb	Dungarvan	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0dn9yq	Saint-Agapit, Quebec	location.location,location.statistical_region,location.citytown
m.0ch1_kd	Kalvi	location.location
m.01wl84	Chilliwack	location.location,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,location.citytown,government.governmental_jurisdiction
